id,type,text,linked_hazard,linked_safety_goal,evidence_source,linked_test_cases,expected_quality_issues
REQ-AEB-001,functional_safety_requirement,"The AEB pedestrian system shall detect partially occluded pedestrians at night within 40 m for ego vehicle speeds up to 50 km/h and verify the result by scenario test evidence.",HZ-AEB-001,SG-AEB-001,seed_automotive_requirements.md,TC-AEB-NIGHT-OCCLUSION-001,
REQ-AEB-002,validation_requirement,"The AEB validation campaign shall include at least 30 night-time pedestrian crossing scenarios with low-beam headlights, wet road surface, and measured illumination below 10 lux.",HZ-AEB-001,SG-AEB-001,seed_automotive_requirements.md,TC-AEB-NIGHT-OCCLUSION-002,
REQ-AEB-003,functional_requirement,"The AEB system shall react quickly when a pedestrian is detected in front of the vehicle.",HZ-AEB-001,SG-AEB-001,seed_automotive_requirements.md,,"too vague; missing verification method; missing measurable threshold; missing ODD condition"
REQ-LKA-001,safety_requirement,"The lane keeping assist system shall warn the driver within 500 ms when unintended lane departure risk is detected at speeds between 60 km/h and 130 km/h on clearly marked roads.",HZ-LKA-001,SG-LKA-001,seed_automotive_requirements.md,TC-LKA-DEPARTURE-001,
REQ-LKA-002,monitoring_requirement,"The system shall monitor lane marking confidence at runtime and record a diagnostic event when confidence remains below 70% for more than 2 seconds.",HZ-LKA-002,SG-LKA-002,seed_automotive_requirements.md,TC-LKA-CONFIDENCE-001,
REQ-PER-001,dataset_requirement,"The perception dataset shall include at least 5,000 labeled vulnerable road user samples across night, rain, glare, and partial occlusion conditions.",HZ-PER-001,SG-PER-001,seed_automotive_requirements.md,TC-PER-DATASET-COVERAGE-001,missing verification method
REQ-PER-002,software_requirement,"The perception software shall publish object detection confidence, object class, bounding box, timestamp, and sensor source for every tracked vulnerable road user at a minimum rate of 10 Hz.",HZ-PER-001,SG-PER-001,seed_automotive_requirements.md,TC-PER-OUTPUT-001,missing verification method
REQ-MRM-001,technical_safety_requirement,"The minimal risk maneuver controller shall transition the vehicle to a safe stop within 8 seconds when the perception subsystem reports unavailable object detection for more than 1 second in the active ODD.",HZ-MRM-001,SG-MRM-001,seed_automotive_requirements.md,TC-MRM-SAFE-STOP-001,missing verification method
REQ-EVI-001,validation_requirement,"Each safety requirement shall be linked to one hazard, one safety goal, one verification method, and at least one objective evidence artifact before release approval.",,,seed_automotive_requirements.md,TC-EVI-TRACEABILITY-001,"missing measurable threshold; missing ODD condition; missing linked hazard; missing linked safety goal"
REQ-MON-001,monitoring_requirement,"The deployed system shall store safety monitor events with timestamp, vehicle speed, ODD state, triggering condition, and software version for 100% of safety-relevant interventions.",HZ-MON-001,SG-MON-001,seed_automotive_requirements.md,TC-MON-LOGGING-001,missing verification method
